Mod:Item:MetaData, Localized Name
bloodmagic:BlockDemonLight:1, Corrosive Demon Eye
bloodmagic:BlockDemonLight:2, Destructive Demon Eye
bloodmagic:BlockDemonLight:3, Vengeful Demon Eye
bloodmagic:BlockDemonLight:4, Steadfast Demon Eye
bloodmagic:BlockWall1:0, Raw Stone Brick Wall
bloodmagic:BlockWall1:1, Corrosive Stone Brick Wall
bloodmagic:BlockWall1:2, Destructive Stone Brick Wall
bloodmagic:BlockWall1:3, Vengeful Stone Brick Wall
bloodmagic:BlockWall1:4, Steadfast Stone Brick Wall
bloodmagic:BlockWall1:5, Raw Small Stone Brick Wall
bloodmagic:BlockWall1:6, Corrosive Small Stone Brick Wall
bloodmagic:BlockWall1:7, Destructive Small Stone Brick Wall
bloodmagic:BlockWall1:8, Vengeful Small Stone Brick Wall
bloodmagic:BlockWall1:9, Steadfast Small Stone Brick Wall
bloodmagic:BlockWall1:10, Raw Stone Wall
bloodmagic:BlockWall1:11, Corrosive Stone Wall
bloodmagic:BlockWall1:12, Destructive Stone Wall
bloodmagic:BlockWall1:13, Vengeful Stone Wall
bloodmagic:BlockWall1:14, Steadfast Stone Wall
bloodmagic:BlockStairs1:0, Raw Stone Stairs
bloodmagic:BlockStairs1:1, Corrosive Stone Stairs
bloodmagic:BlockStairs2:0, Destructive Stone Stairs
bloodmagic:BlockStairs2:1, Vengeful Stone Stairs
bloodmagic:BlockStairs3, tile.BloodMagic.stairs3..name
bloodmagic:BlockInversionPillar:0, Raw Inversion Pillar
bloodmagic:BlockInversionPillar:1, Corrosive Inversion Pillar
bloodmagic:BlockInversionPillar:2, Destructive Inversion Pillar
bloodmagic:BlockInversionPillar:3, Vengeful Inversion Pillar
bloodmagic:BlockInversionPillar:4, Steadfast Inversion Pillar
bloodmagic:BlockInversionPillarEnd:0, Raw Inversion Pillar Base
bloodmagic:BlockInversionPillarEnd:1, Raw Inversion Pillar Cap
bloodmagic:BlockInversionPillarEnd:2, Corrosive Inversion Pillar Base
bloodmagic:BlockInversionPillarEnd:3, Corrosive Inversion Pillar Cap
bloodmagic:BlockInversionPillarEnd:4, Destructive Inversion Pillar Base
bloodmagic:BlockInversionPillarEnd:5, Destructive Inversion Pillar Cap
bloodmagic:BlockInversionPillarEnd:6, Vengeful Inversion Pillar Base
bloodmagic:BlockInversionPillarEnd:7, Vengeful Inversion Pillar Cap
bloodmagic:BlockInversionPillarEnd:8, Steadfast Inversion Pillar Base
bloodmagic:BlockInversionPillarEnd:9, Steadfast Inversion Pillar Cap
bloodmagic:ItemBloodOrb:0, Weak Blood Orb
bloodmagic:ItemBloodOrb:1, Apprentice Blood Orb
bloodmagic:ItemBloodOrb:2, Magician Blood Orb
bloodmagic:ItemBloodOrb:3, Master Blood Orb
bloodmagic:ItemBloodOrb:4, Archmage Blood Orb
bloodmagic:ItemBloodOrb:5, Transcendent Blood Orb
bloodmagic:ItemActivationCrystal:0, Weak Activation Crystal
bloodmagic:ItemActivationCrystal:1, Awakened Activation Crystal
bloodmagic:ItemActivationCrystal:2, Creative Activation Crystal
bloodmagic:ItemSlate:0, Blank Slate
bloodmagic:ItemSlate:1, Reinforced Slate
bloodmagic:ItemSlate:2, Imbued Slate
bloodmagic:ItemSlate:3, Demonic Slate
bloodmagic:ItemSlate:4, Ethereal Slate
bloodmagic:ItemInscriptionTool:1, Elemental Inscription Tool: Water
bloodmagic:ItemInscriptionTool:2, Elemental Inscription Tool: Fire
bloodmagic:ItemInscriptionTool:3, Elemental Inscription Tool: Earth
bloodmagic:ItemInscriptionTool:4, Elemental Inscription Tool: Air
bloodmagic:ItemInscriptionTool:5, Elemental Inscription Tool: Dusk
bloodmagic:ItemInscriptionTool:6, Elemental Inscription Tool: Dawn
bloodmagic:ItemSacrificialDagger:0, Sacrificial Dagger
bloodmagic:ItemSacrificialDagger:1, Creative Sacrificial Dagger
bloodmagic:ItemPackSacrifice, Coat of Arms
bloodmagic:ItemPackSelfSacrifice, Blood Letter's Pack
bloodmagic:ItemDaggerOfSacrifice, Dagger of Sacrifice
bloodmagic:ItemRitualDiviner:0, Ritual Diviner
bloodmagic:ItemRitualDiviner:1, Ritual Diviner [Dusk]
bloodmagic:ItemRitualDiviner:2, Ritual Diviner [Dawn]
bloodmagic:ItemRitualReader, Ritual Tinkerer
bloodmagic:ItemLavaCrystal, Lava Crystal
bloodmagic:ItemBoundSword, Bound Blade
bloodmagic:ItemBoundPickaxe, Bound Pickaxe
bloodmagic:ItemBoundAxe, Bound Axe
bloodmagic:ItemBoundShovel, Bound Shovel
bloodmagic:ItemSigilDivination, Divination Sigil
bloodmagic:ItemSigilAir, Air Sigil
bloodmagic:ItemSigilWater, Water Sigil
bloodmagic:ItemSigilLava, Lava Sigil
bloodmagic:ItemSigilVoid, Void Sigil
bloodmagic:ItemSigilGreenGrove, Sigil of the Green Grove
bloodmagic:ItemSigilBloodLight, Sigil of the Blood Lamp
bloodmagic:ItemSigilElementalAffinity, Sigil of Elemental Affinity
bloodmagic:ItemSigilMagnetism, Sigil of Magnetism
bloodmagic:ItemSigilSuppression, Sigil of Suppression
bloodmagic:ItemSigilHaste, Sigil of Haste
bloodmagic:ItemSigilFastMiner, Sigil of the Fast Miner
bloodmagic:ItemSigilSeer, Seer's Sigil
bloodmagic:ItemSigilPhantomBridge, Sigil of the Phantom Bridge
bloodmagic:ItemSigilWhirlwind, Sigil of the Whirlwind
bloodmagic:ItemSigilCompression, Sigil of Compression
bloodmagic:ItemSigilEnderSeverance, Sigil of Ender Severance
bloodmagic:ItemSigilHolding, Sigil of Holding
bloodmagic:ItemSigilTeleposition, Teleposition Sigil
bloodmagic:ItemSigilTransposition, Transposition Sigil
bloodmagic:ItemSigilClaw, Sigil of the Claw
bloodmagic:ItemSigilBounce, Sigil of Elasticity
bloodmagic:ItemSigilFrost, Sigil of Winter's Breath
bloodmagic:ItemComponent:0, Water Reagent
bloodmagic:ItemComponent:1, Lava Reagent
bloodmagic:ItemComponent:2, Air Reagent
bloodmagic:ItemComponent:3, Mining Reagent
bloodmagic:ItemComponent:4, Void Reagent
bloodmagic:ItemComponent:5, Growth Reagent
bloodmagic:ItemComponent:6, Elemental Affinity Reagent
bloodmagic:ItemComponent:7, Sight Reagent
bloodmagic:ItemComponent:8, Binding Reagent
bloodmagic:ItemComponent:9, Suppression Reagent
bloodmagic:ItemComponent:10, Frame Parts
bloodmagic:ItemComponent:11, Blood Lamp Reagent
bloodmagic:ItemComponent:12, Magnetism Reagent
bloodmagic:ItemComponent:13, Haste Reagent
bloodmagic:ItemComponent:14, Compression Reagent
bloodmagic:ItemComponent:15, Phantom Bridge Reagent
bloodmagic:ItemComponent:16, Severance Reagent
bloodmagic:ItemComponent:17, Teleposition Reagent
bloodmagic:ItemComponent:18, Transposition Reagent
bloodmagic:ItemComponent:19, Iron Sand
bloodmagic:ItemComponent:20, Gold Sand
bloodmagic:ItemComponent:21, Coal Sand
bloodmagic:ItemComponent:22, Plant Oil
bloodmagic:ItemComponent:23, Sulfur
bloodmagic:ItemComponent:24, Saltpeter
bloodmagic:ItemComponent:25, Neuro Toxin
bloodmagic:ItemComponent:26, Antiseptic
bloodmagic:ItemComponent:27, Holding Reagent
bloodmagic:ItemComponent:28, Simple Lengthening Catalyst
bloodmagic:ItemComponent:29, Simple Power Catalyst
bloodmagic:ItemComponent:30, Claw Reagent
bloodmagic:ItemComponent:31, Elasticity Reagent
bloodmagic:ItemComponent:32, Frost Reagent
bloodmagic:ItemDemonCrystal:0, Demon Will Crystal
bloodmagic:ItemDemonCrystal:1, Corrosive Will Crystal
bloodmagic:ItemDemonCrystal:2, Destructive Will Crystal
bloodmagic:ItemDemonCrystal:3, Vengeful Will Crystal
bloodmagic:ItemDemonCrystal:4, Steadfast Will Crystal
bloodmagic:ItemTelepositionFocus:0, Teleposition Focus
bloodmagic:ItemTelepositionFocus:1, Enhanced Teleposition Focus
bloodmagic:ItemTelepositionFocus:2, Reinforced Teleposition Focus
bloodmagic:ItemTelepositionFocus:3, Demonic Teleposition Focus
bloodmagic:ItemExperienceBook, Tome of Peritia
bloodmagic:ItemBloodShard:0, Weak Blood Shard
bloodmagic:ItemBloodShard:1, Demon Blood Shard
bloodmagic:ItemLivingArmourHelmet, item.BloodMagic.livingArmour..name
bloodmagic:ItemLivingArmourChest, item.BloodMagic.livingArmour..name
bloodmagic:ItemLivingArmourLegs, item.BloodMagic.livingArmour..name
bloodmagic:ItemLivingArmourBoots, item.BloodMagic.livingArmour..name
bloodmagic:ItemSentientArmourHelmet, item.BloodMagic.sentientArmour..name
bloodmagic:ItemSentientArmourChest, item.BloodMagic.sentientArmour..name
bloodmagic:ItemSentientArmourLegs, item.BloodMagic.sentientArmour..name
bloodmagic:ItemSentientArmourBoots, item.BloodMagic.sentientArmour..name
bloodmagic:ItemAltarMaker, Altar Maker
bloodmagic:ItemUpgradeTrainer:0, Living Armour Training Bracelet
bloodmagic:ItemArcaneAshes, Arcane Ashes
bloodmagic:ItemMonsterSoul:0, Demonic Will
bloodmagic:ItemMonsterSoul:1, Corrosive Demonic Will
bloodmagic:ItemMonsterSoul:2, Destructive Demonic Will
bloodmagic:ItemMonsterSoul:3, Vengeful Demonic Will
bloodmagic:ItemMonsterSoul:4, Steadfast Demonic Will
bloodmagic:ItemSoulGem:0, Petty Tartaric Gem
bloodmagic:ItemSoulGem:1, Lesser Tartaric Gem
bloodmagic:ItemSoulGem:2, Common Tartaric Gem
bloodmagic:ItemSoulGem:3, Greater Tartaric Gem
bloodmagic:ItemSoulGem:4, Grand Tartaric Gem
bloodmagic:ItemSoulGem:0, Petty Tartaric Gem
bloodmagic:ItemSoulGem:1, Lesser Tartaric Gem
bloodmagic:ItemSoulGem:2, Common Tartaric Gem
bloodmagic:ItemSoulGem:3, Greater Tartaric Gem
bloodmagic:ItemSoulGem:4, Grand Tartaric Gem
bloodmagic:ItemSoulGem:0, Petty Tartaric Gem
bloodmagic:ItemSoulGem:1, Lesser Tartaric Gem
bloodmagic:ItemSoulGem:2, Common Tartaric Gem
bloodmagic:ItemSoulGem:3, Greater Tartaric Gem
bloodmagic:ItemSoulGem:4, Grand Tartaric Gem
bloodmagic:ItemSoulGem:0, Petty Tartaric Gem
bloodmagic:ItemSoulGem:1, Lesser Tartaric Gem
bloodmagic:ItemSoulGem:2, Common Tartaric Gem
bloodmagic:ItemSoulGem:3, Greater Tartaric Gem
bloodmagic:ItemSoulGem:4, Grand Tartaric Gem
bloodmagic:ItemSoulGem:0, Petty Tartaric Gem
bloodmagic:ItemSoulGem:1, Lesser Tartaric Gem
bloodmagic:ItemSoulGem:2, Common Tartaric Gem
bloodmagic:ItemSoulGem:3, Greater Tartaric Gem
bloodmagic:ItemSoulGem:4, Grand Tartaric Gem
bloodmagic:ItemSoulGem:0, Petty Tartaric Gem
bloodmagic:ItemSoulGem:1, Lesser Tartaric Gem
bloodmagic:ItemSoulGem:2, Common Tartaric Gem
bloodmagic:ItemSoulGem:3, Greater Tartaric Gem
bloodmagic:ItemSoulGem:4, Grand Tartaric Gem
bloodmagic:ItemSoulSnare:0, Rudimentary Snare
bloodmagic:ItemSentientSword, Sentient Sword
bloodmagic:ItemSentientBow, Sentient Bow
bloodmagic:ItemSentientArmourGem, Sentient Armour Gem
bloodmagic:ItemSentientAxe, Sentient Axe
bloodmagic:ItemSentientPickaxe, Sentient Pickaxe
bloodmagic:ItemSentientShovel, Sentient Shovel
bloodmagic:ItemNodeRouter, Node Router
bloodmagic:ItemRouterFilter:0, Precise Item Filter
bloodmagic:ItemRouterFilter:1, NBT Item Filter
bloodmagic:ItemRouterFilter:2, Mod Item Filter
bloodmagic:ItemRouterFilter:3, Ore Dictionary Item Filter
bloodmagic:ItemFluidRouterFilter:0, Fluid Filter
bloodmagic:ItemCuttingFluid:0, Basic Cutting Fluid
bloodmagic:ItemCuttingFluid:1, Explosive Powder
bloodmagic:ItemSanguineBook, Inspectoris Scandalum
bloodmagic:ItemLivingArmourPointsUpgrade:0, Draft of Angelus
bloodmagic:ItemDemonWillGauge, Demon Will Aura Gauge
bloodmagic:ItemPotionFlask, Potion Flask
animus:itemkamawood, Wooden Khopesh
animus:itemkamastone, Stone Khopesh
animus:itemkamairon, Iron Khopesh
animus:itemkamagold, Gold Khopesh
animus:itemkamadiamond, Diamond Khopesh
animus:itemkamabound, Bound Khopesh
animus:itemaltardiviner, Altar Diviner
animus:itemmobsoul, Mob Soul
animus:itemsigilchains, Sigil of Phantom Chains
animus:itemsigiltransposition, Sigil of Aquisition
animus:itemsigilbuilder, Sigil of the Fast Builder
animus:itemsigilconsumption, Sigil of Consumption
animus:itemfragmenthealing, Healing Fragment
animus:itemsigilstorm, Sigil of the Storm
animus:itemsigilleech, Sigil of Nature's Leech
animus:blockphantombuilder, Phantom Builder Block
animus:blockantimatter, Antimatter
tconstruct:book, Materials and You
tconstruct:soil:0, Grout
tconstruct:soil:1, Green Slimy Mud
tconstruct:soil:2, Blue Slimy Mud
tconstruct:soil:3, Graveyard Soil
tconstruct:soil:4, Consecrated Soil
tconstruct:soil:5, Slimy Magma Mud
tconstruct:slime:0, Green Slime Block
tconstruct:slime:1, Blue Slime Block
tconstruct:slime:2, Purple Slime Block
tconstruct:slime:3, Blood Slime Block
tconstruct:slime:4, Magma Slime Block
tconstruct:slime_congealed:0, Congealed Green Slime Block
tconstruct:slime_congealed:1, Congealed Blue Slime Block
tconstruct:slime_congealed:2, Congealed Purple Slime Block
tconstruct:slime_congealed:3, Congealed Blood Slime Block
tconstruct:slime_congealed:4, Congealed Magma Slime Block
tconstruct:ore:0, Cobalt Ore
tconstruct:ore:1, Ardite Ore
tconstruct:firewood:0, Lavawood
tconstruct:firewood:1, Firewood
tconstruct:deco_ground:0, Mud Bricks
tconstruct:clear_glass:0, Clear Glass
tconstruct:clear_stained_glass:0, Clear White Stained Glass
tconstruct:clear_stained_glass:1, Clear Orange Stained Glass
tconstruct:clear_stained_glass:2, Clear Magenta Stained Glass
tconstruct:clear_stained_glass:3, Clear Light Blue Stained Glass
tconstruct:clear_stained_glass:4, Clear Yellow Stained Glass
tconstruct:clear_stained_glass:5, Clear Light Green Stained Glass
tconstruct:clear_stained_glass:6, Clear Pink Stained Glass
tconstruct:clear_stained_glass:7, Clear Gray Stained Glass
tconstruct:clear_stained_glass:8, Clear Light Gray Stained Glass
tconstruct:clear_stained_glass:9, Clear Cyan Stained Glass
tconstruct:clear_stained_glass:10, Clear Purple Stained Glass
tconstruct:clear_stained_glass:11, Clear Blue Stained Glass
tconstruct:clear_stained_glass:12, Clear Brown Stained Glass
tconstruct:clear_stained_glass:13, Clear Green Stained Glass
tconstruct:clear_stained_glass:14, Clear Red Stained Glass
tconstruct:clear_stained_glass:15, Clear Black Stained Glass
tconstruct:deco_ground_slab:0, Mud Bricks Slab
tconstruct:firewood_slab:0, Lavawood Slab
tconstruct:firewood_slab:1, Firewood Slab
tconstruct:mudbrick_stairs:0, Mud Bricks Stairs
tconstruct:firewood_stairs:0, Firewood Stairs
tconstruct:lavawood_stairs:0, Lavawood Stairs
tconstruct:nuggets:0, Cobalt Nugget
tconstruct:nuggets:1, Ardite Nugget
tconstruct:nuggets:2, Manyullyn Nugget
tconstruct:nuggets:3, Knightslime Nugget
tconstruct:nuggets:4, Pigiron Nugget
tconstruct:nuggets:5, Aluminum Brass Nugget
tconstruct:ingots:0, Cobalt Ingot
tconstruct:ingots:1, Ardite Ingot
tconstruct:ingots:2, Manyullyn Ingot
tconstruct:ingots:3, Knightslime Ingot
tconstruct:ingots:4, Pigiron Ingot
tconstruct:ingots:5, Aluminum Brass Ingot
tconstruct:materials:0, Seared Brick
tconstruct:materials:1, Mud Brick
tconstruct:materials:2, Dried Brick
tconstruct:materials:9, Green Slime Crystal
tconstruct:materials:10, Blue Slime Crystal
tconstruct:materials:11, Magma Slime Crystal
tconstruct:materials:12, Expander (Horizontal)
tconstruct:materials:13, Expander (Vertical)
tconstruct:materials:14, Reinforcement
tconstruct:materials:15, Silky Cloth
tconstruct:materials:16, Silky Jewel
tconstruct:materials:17, Necrotic Bone
tconstruct:materials:18, Ball of Moss
tconstruct:materials:19, Mending Moss
tconstruct:materials:50, Creative Modifier
tconstruct:edible:0, Bacon
tconstruct:edible:1, Slime Ball
tconstruct:edible:2, Slime Ball
tconstruct:edible:3, Coagulated Blood
tconstruct:edible:4, Slime Ball
tconstruct:edible:10, Monster Jerky
tconstruct:edible:11, Beef Jerky
tconstruct:edible:12, Chicken Jerky
tconstruct:edible:13, Bacon Jerky
tconstruct:edible:14, Mutton Jerky
tconstruct:edible:15, Rabbit Jerky
tconstruct:edible:20, Fish Jerky
tconstruct:edible:21, Salmon Jerky
tconstruct:edible:22, Clownfish Jerky
tconstruct:edible:23, Fugu Jerky
tconstruct:edible:30, Gelatinous Slime Drop
tconstruct:edible:31, Gelatinous Slime Drop
tconstruct:edible:32, Gelatinous Slime Drop
tconstruct:edible:33, Coagulated Blood Drop
tconstruct:edible:34, Gelatinous Slime Drop
tconstruct:metal:0, Block of Cobalt
tconstruct:metal:1, Block of Ardite
tconstruct:metal:2, Block of Manyullyn
tconstruct:metal:3, Block of Knightslime
tconstruct:metal:4, Block of Pigiron
tconstruct:metal:5, Block of Aluminum Brass
tconstruct:metal:6, Silky Block of Jewel
tconstruct:slime_dirt:0, Green Slimy Dirt
tconstruct:slime_dirt:1, Blue Slimy Dirt
tconstruct:slime_dirt:2, Purple Slimy Dirt
tconstruct:slime_dirt:3, Magma Slimy Dirt
tconstruct:slime_grass:0, Slimy Grass
tconstruct:slime_grass:1, Green Slimy Grass
tconstruct:slime_grass:2, Blue Slimy Grass
tconstruct:slime_grass:3, Purple Slimy Grass
tconstruct:slime_grass:4, Magma Slimy Grass
tconstruct:slime_grass:5, Slimy Grass
tconstruct:slime_grass:6, Green Slimy Grass
tconstruct:slime_grass:7, Blue Slimy Grass
tconstruct:slime_grass:8, Purple Slimy Grass
tconstruct:slime_grass:9, Magma Slimy Grass
tconstruct:slime_grass:10, Slimy Grass
tconstruct:slime_grass:11, Green Slimy Grass
tconstruct:slime_grass:12, Blue Slimy Grass
tconstruct:slime_grass:13, Purple Slimy Grass
tconstruct:slime_grass:14, Magma Slimy Grass
tconstruct:slime_leaves:0, Slimy Leaves
tconstruct:slime_leaves:1, Slimy Leaves
tconstruct:slime_leaves:2, Slimy Leaves
tconstruct:slime_grass_tall:0, Tall Slimy Grass
tconstruct:slime_grass_tall:4, Tall Slimy Grass
tconstruct:slime_grass_tall:8, Tall Slimy Grass
tconstruct:slime_grass_tall:1, Slimy Fern
tconstruct:slime_grass_tall:5, Slimy Fern
tconstruct:slime_grass_tall:9, Slimy Fern
tconstruct:slime_sapling:0, Blue Slime Sapling
tconstruct:slime_sapling:1, Purple Slime Sapling
tconstruct:slime_sapling:2, Magma Slime Sapling
tconstruct:slime_vine_blue_end:0, Blue Slimy Vine
tconstruct:slime_vine_blue_mid:0, Blue Slimy Vine
tconstruct:slime_vine_blue:0, Blue Slimy Vine
tconstruct:slime_vine_purple_end:0, Purple Slimy Vine
tconstruct:slime_vine_purple_mid:0, Purple Slimy Vine
tconstruct:slime_vine_purple:0, Purple Slimy Vine
tconstruct:pattern:0, Blank Pattern
tconstruct:pattern:0, Bowlimb Pattern
tconstruct:pattern:0, Knife Blade Pattern
tconstruct:pattern:0, Tough Tool Rod Pattern
tconstruct:pattern:0, Binding Pattern
tconstruct:pattern:0, Shovel Head Pattern
tconstruct:pattern:0, Arrow Shaft Pattern
tconstruct:pattern:0, Hand Guard Pattern
tconstruct:pattern:0, Tool Rod Pattern
tconstruct:pattern:0, Shard Pattern
tconstruct:pattern:0, Sword Blade Pattern
tconstruct:pattern:0, Large Sword Blade Pattern
tconstruct:pattern:0, Tough Binding Pattern
tconstruct:pattern:0, Hammer Head Pattern
tconstruct:pattern:0, Arrow Head Pattern
tconstruct:pattern:0, Pickaxe Head Pattern
tconstruct:pattern:0, Broad Axe Head Pattern
tconstruct:pattern:0, Wide Guard Pattern
tconstruct:pattern:0, Large Plate Pattern
tconstruct:pattern:0, Sharpening Kit Pattern
tconstruct:pattern:0, Excavator Head Pattern
tconstruct:pattern:0, Bowstring Pattern
tconstruct:pattern:0, Cross Guard Pattern
tconstruct:pattern:0, Scythe Head Pattern
tconstruct:pattern:0, Axe Head Pattern
tconstruct:pattern:0, Sign Plate Pattern
tconstruct:pattern:0, Pan Pattern
tconstruct:shard:0, Lava Crystal Shard
tconstruct:shard:0, Compressed Obsidian Shard
tconstruct:shard:0, Blood Infused Wooden Shard
tconstruct:shard:0, Blood Infused Iron Shard
tconstruct:shard:0, Treated Wood Shard
tconstruct:shard:0, Constantan Shard
tconstruct:shard:0, Enderium Shard
tconstruct:shard:0, Platinum Shard
tconstruct:shard:0, Iridium Shard
tconstruct:shard:0, Mithril Shard
tconstruct:shard:0, Signalum Shard
tconstruct:shard:0, Lumium Shard
tconstruct:shard:0, Invar Shard
tconstruct:shard:0, Nickel Shard
tconstruct:shard:0, Tin Shard
tconstruct:shard:0, Aluminum Shard
tconstruct:shard:0, Manasteel Shard
tconstruct:shard:0, Terrasteel Shard
tconstruct:shard:0, Elementium Shard
tconstruct:shard:0, Gaia Spirit Shard
tconstruct:shard:0, Yellorium Shard
tconstruct:shard:0, Cyanite Shard
tconstruct:shard:0, Blutonium Shard
tconstruct:shard:0, Ludicrite Shard
tconstruct:shard:0, Magical Wood Shard
tconstruct:shard:0, Enchanted Metal Shard
tconstruct:shard:0, Basalt Shard
tconstruct:shard:0, Titanium Shard
tconstruct:shard:0, Ruby Shard
tconstruct:shard:0, Sapphire Shard
tconstruct:shard:0, Peridot Shard
tconstruct:shard:0, Rubber Shard
tconstruct:shard:0, Certus Quartz Shard
tconstruct:shard:0, Fluix Crystal Shard
tconstruct:shard:0, Tiberium Shard
tconstruct:shard:0, Rubium Shard
tconstruct:shard:0, Prometheum Shard
tconstruct:shard:0, Arcanite Shard
tconstruct:shard:0, Titanite Shard
tconstruct:shard:0, Meteorite Shard
tconstruct:shard:0, Vibranium Shard
tconstruct:shard:0, Adamantite Shard
tconstruct:shard:0, Eternite Shard
tconstruct:shard:0, Mythril Shard
tconstruct:shard:0, Palladium Shard
tconstruct:shard:0, Ignitite Shard
tconstruct:shard:0, Bismuth Shard
tconstruct:shard:0, Violium Shard
tconstruct:shard:0, Mindorite Shard
tconstruct:shard:0, Karmesine Shard
tconstruct:shard:0, Nitronite Shard
tconstruct:shard:0, Bysmuid Shard
tconstruct:shard:0, Ultranite Shard
tconstruct:shard:0, Astrium Shard
tconstruct:shard:0, Imperomite Shard
tconstruct:shard:0, Dyonite Shard
tconstruct:shard:0, Solarium Shard
tconstruct:shard:0, Fractoryte Shard
tconstruct:shard:0, Aegisalt Shard
tconstruct:shard:0, Noctunyx Shard
tconstruct:shard:0, Nucleum Shard
tconstruct:shard:0, Seismodium Shard
tconstruct:shard:0, Lumixyl Shard
tconstruct:shard:0, Terramite Shard
tconstruct:shard:0, Cryptogen Shard
tconstruct:shard:0, Proxideum Shard
tconstruct:sharpening_kit:0, Lava Crystal Sharpening Kit
tconstruct:sharpening_kit:0, Compressed Obsidian Sharpening Kit
tconstruct:sharpening_kit:0, Blood Infused Wooden Sharpening Kit
tconstruct:sharpening_kit:0, Blood Infused Iron Sharpening Kit
tconstruct:sharpening_kit:0, Treated Wood Sharpening Kit
tconstruct:sharpening_kit:0, Constantan Sharpening Kit
tconstruct:sharpening_kit:0, Enderium Sharpening Kit
tconstruct:sharpening_kit:0, Platinum Sharpening Kit
tconstruct:sharpening_kit:0, Iridium Sharpening Kit
tconstruct:sharpening_kit:0, Mithril Sharpening Kit
tconstruct:sharpening_kit:0, Signalum Sharpening Kit
tconstruct:sharpening_kit:0, Lumium Sharpening Kit
tconstruct:sharpening_kit:0, Invar Sharpening Kit
tconstruct:sharpening_kit:0, Nickel Sharpening Kit
tconstruct:sharpening_kit:0, Tin Sharpening Kit
tconstruct:sharpening_kit:0, Aluminum Sharpening Kit
tconstruct:sharpening_kit:0, Manasteel Sharpening Kit
tconstruct:sharpening_kit:0, Terrasteel Sharpening Kit
tconstruct:sharpening_kit:0, Elementium Sharpening Kit
tconstruct:sharpening_kit:0, Gaia Spirit Sharpening Kit
tconstruct:sharpening_kit:0, Yellorium Sharpening Kit
tconstruct:sharpening_kit:0, Cyanite Sharpening Kit
tconstruct:sharpening_kit:0, Blutonium Sharpening Kit
tconstruct:sharpening_kit:0, Ludicrite Sharpening Kit
tconstruct:sharpening_kit:0, Magical Wood Sharpening Kit
tconstruct:sharpening_kit:0, Enchanted Metal Sharpening Kit
tconstruct:sharpening_kit:0, Basalt Sharpening Kit
tconstruct:sharpening_kit:0, Titanium Sharpening Kit
tconstruct:sharpening_kit:0, Ruby Sharpening Kit
tconstruct:sharpening_kit:0, Sapphire Sharpening Kit
tconstruct:sharpening_kit:0, Peridot Sharpening Kit
tconstruct:sharpening_kit:0, Rubber Sharpening Kit
tconstruct:sharpening_kit:0, Certus Quartz Sharpening Kit
tconstruct:sharpening_kit:0, Fluix Crystal Sharpening Kit
tconstruct:sharpening_kit:0, Tiberium Sharpening Kit
tconstruct:sharpening_kit:0, Rubium Sharpening Kit
tconstruct:sharpening_kit:0, Prometheum Sharpening Kit
tconstruct:sharpening_kit:0, Arcanite Sharpening Kit
tconstruct:sharpening_kit:0, Titanite Sharpening Kit
tconstruct:sharpening_kit:0, Meteorite Sharpening Kit
tconstruct:sharpening_kit:0, Vibranium Sharpening Kit
tconstruct:sharpening_kit:0, Adamantite Sharpening Kit
tconstruct:sharpening_kit:0, Eternite Sharpening Kit
tconstruct:sharpening_kit:0, Mythril Sharpening Kit
tconstruct:sharpening_kit:0, Palladium Sharpening Kit
tconstruct:sharpening_kit:0, Ignitite Sharpening Kit
tconstruct:sharpening_kit:0, Bismuth Sharpening Kit
tconstruct:sharpening_kit:0, Violium Sharpening Kit
tconstruct:sharpening_kit:0, Mindorite Sharpening Kit
tconstruct:sharpening_kit:0, Karmesine Sharpening Kit
tconstruct:sharpening_kit:0, Nitronite Sharpening Kit
tconstruct:sharpening_kit:0, Bysmuid Sharpening Kit
tconstruct:sharpening_kit:0, Ultranite Sharpening Kit
tconstruct:sharpening_kit:0, Astrium Sharpening Kit
tconstruct:sharpening_kit:0, Imperomite Sharpening Kit
tconstruct:sharpening_kit:0, Dyonite Sharpening Kit
tconstruct:sharpening_kit:0, Solarium Sharpening Kit
tconstruct:sharpening_kit:0, Fractoryte Sharpening Kit
tconstruct:sharpening_kit:0, Aegisalt Sharpening Kit
tconstruct:sharpening_kit:0, Noctunyx Sharpening Kit
tconstruct:sharpening_kit:0, Nucleum Sharpening Kit
tconstruct:sharpening_kit:0, Seismodium Sharpening Kit
tconstruct:sharpening_kit:0, Lumixyl Sharpening Kit
tconstruct:sharpening_kit:0, Terramite Sharpening Kit
tconstruct:sharpening_kit:0, Cryptogen Sharpening Kit
tconstruct:sharpening_kit:0, Proxideum Sharpening Kit
tconstruct:pick_head:0, Lava Crystal Pickaxe Head
tconstruct:pick_head:0, Compressed Obsidian Pickaxe Head
tconstruct:pick_head:0, Blood Infused Wooden Pickaxe Head
tconstruct:pick_head:0, Blood Infused Iron Pickaxe Head
tconstruct:pick_head:0, Treated Wood Pickaxe Head
tconstruct:pick_head:0, Constantan Pickaxe Head
tconstruct:pick_head:0, Enderium Pickaxe Head
tconstruct:pick_head:0, Platinum Pickaxe Head
tconstruct:pick_head:0, Iridium Pickaxe Head
tconstruct:pick_head:0, Mithril Pickaxe Head
tconstruct:pick_head:0, Signalum Pickaxe Head
tconstruct:pick_head:0, Lumium Pickaxe Head
tconstruct:pick_head:0, Invar Pickaxe Head
